ts,date,time,version,accuracy_clean,accuracy_aug,loss_clean,loss_aug
1755590350,2025-08-19,16:59:10,1,0.987,0.957,0.424876,0.143538
1755590428,2025-08-19,17:00:28,2,0.989,0.953,0.220903,0.155269
1755590796,2025-08-19,17:06:36,3,0.974,0.943,0.379697,0.174377
1755591067,2025-08-19,17:11:07,4,0.983,0.959,0.343407,0.1371
1755591396,2025-08-19,17:16:36,5,0.99,0.933,0.38382,0.163009
1755591799,2025-08-19,17:23:19,6,0.984,0.962,0.495745,0.114625
1755591963,2025-08-19,17:26:03,7,0.984,0.942,0.313668,0.160793
1755592228,2025-08-19,17:30:28,8,0.985,0.945,0.253536,0.149653
1755592380,2025-08-19,17:33:00,9,0.978,0.936,0.41382,0.165015
1755592926,2025-08-19,17:42:06,10,0.991,0.951,0.432572,0.139229
1755593128,2025-08-19,17:45:28,11,0.984,0.946,0.310203,0.152388
1755593489,2025-08-19,17:51:29,12,0.979,0.955,0.343492,0.136799
1755593644,2025-08-19,17:54:04,13,0.978,0.928,0.500804,0.217158
